"movie","year","rating","rewatch","score","date_watched","previous_score","notes","review_link"
"Kicking and Screaming","1995","3","","57","2025-04-26","","",""
"The People vs. Larry Flynt","1996","2","","35","2025-04-20","","",""
"The Amateur","2025","2","","33","2025-04-19","","",""
"Sinners","2025","3.5","","62","2025-04-18","","",""
"Free Solo","2018","3","","53","2025-04-17","","",""
"The Best Years of Our Lives","1946","3.5","","70","2025-04-12","","",""
"Zindagi Na Milegi Dobara","2011","4","yes","72","2025-04-06","","",""
"Adolescence","2025","4","","","2025-03-31","","",""
"Bajrangi Bhaijaan","2015","3","yes","55","2025-03-27","","",""
"Lemon Popsicle","1978","3","","51","2025-03-23","","",""
"Abhimaan","1973","2","","37","2025-03-22","","",""
"Saath Saath","1982","1.5","","28","2025-03-17","","",""
"Katha","1982","2.5","","41","2025-03-16","","",""
"Chashme Buddoor","1981","3","","54","2025-03-16","","",""
"Sparsh","1980","3","","53","2025-03-16","","",""
"Frances Ha","2012","3.5","","70","2025-03-15","","",""
"Apur Sansar","1959","3.5","","67","2025-03-13","","",""
"Aparajito","1956","3.5","","68","2025-03-11","","",""
"Pather Panchali","1955","3.5","","65","2025-03-10","","",""
"The Chess Players","1977","3","","59","2025-03-09","","",""
"Garm Hava","1973","3","","60","2025-03-08","","",""
"Cutter's Way","1981","5","yes","94","2025-03-07","76","",""
"Mickey 17","2025","3","","59","2025-03-07","","",""
"EuroTrip","2004","1","","11","2025-03-06","","",""
"Gulaal","2009","2.5","","50","2025-03-02","","",""
"The Brutalist","2024","3.5","","65","2025-03-01","","",""
"A Complete Unknown","2024","3","","54","2025-03-01","","",""
"Bombay Talkies","2013","","","","2025-02-26","","",""
"That Girl in Yellow Boots","2011","2.5","","49","2025-02-26","","",""
"No Smoking","2007","2","","40","2025-02-25","","",""
"Manmarziyaan","2018","3","","57","2025-02-24","","",""
"Mukkabaaz","2017","3","","58","2025-02-23","","",""
"The Order","2024","3","","53","2025-02-22","","",""
"The Stepfather","1987","2","","39","2025-02-20","","",""
"Chhaava","2025","1.5","","30","2025-02-15","","",""
"Ugly","2013","2.5","","44","2025-02-14","","",""
"Salaam Bombay!","1988","4","","76","2025-02-09","","",""
"A Death in the Gunj","2016","2.5","","47","2025-02-09","","",""
"Three of Us","2022","2.5","","46","2025-02-08","","",""
"Lost Ladies","2023","3","","56","2025-02-08","","",""
"The Funhouse","1981","2.5","","50","2025-02-07","","",""
"Paradise Alley","1978","3","","51","2025-02-02","","",""
"Nosferatu","2024","3","","56","2025-02-01","","",""
"Daisy Miller","1974","4.5","","81","2025-01-30","","",""
"Rolling Thunder","1977","4","","74","2025-01-30","","",""
"Shithouse","2020","3.5","","68","2025-01-29","","",""
"The Darjeeling Limited","2007","3","","52","2025-01-26","","",""
"The Animal Kingdom","2023","2.5","","45","2025-01-23","","","https://boxd.it/8BHaHn"
"Heretic","2024","2.5","","50","2025-01-20","","",""
"Red Rocket","2021","3.5","","65","2025-01-16","","",""
"Tangerine","2015","3","","51","2025-01-15","","",""
"Anora","2024","4","","71","2025-01-14","","",""
"Juror #2","2024","3","","57","2025-01-09","","",""
"Lone Star","1996","3.5","","62","2025-01-05","","",""
"A Real Pain","2024","3","","60","2025-01-03","","",""
"Bad Santa","2003","3","","52","2024-12-26","","",""
"The Polar Express","2004","","yes","","2024-12-13","","",""
"Vir Das: Landing","2022","","","","2024-12-07","","",""
"Fearless","1993","3.5","","61","2024-12-01","","",""
"Trading Places","1983","3","","55","2024-11-30","","",""
"Arlington Road","1999","2.5","","44","2024-11-28","","",""
"Conclave","2024","2.5","","46","2024-11-27","","",""
"Splice","2009","2","","33","2024-11-19","","",""
"The Apprentice","2024","2.5","","45","2024-11-18","","",""
"A Different Man","2024","3","","51","2024-11-17","","",""
"Final Destination","2000","1","yes","19","2024-11-13","","",""
"Super 8","2011","3","","54","2024-11-10","","",""
"V for Vendetta","2005","3.5","yes","66","2024-11-07","78","","https://boxd.it/7KwOP3"
