"movie","year","rating","rewatch","score","date_watched","previous_score","notes","review_link"
"Grindhouse","2007","4","","72","2023-03-25","","",""
"The Coward","1965","3","","54","2023-03-24","","",""
"Goodnight Mommy","2014","2.5","","42","2023-03-22","","",""
"Goodnight Mommy","2022","","","","2023-03-18","","",""
"Sexy Beast","2000","3.5","","62","2023-03-18","","",""
"The Fog","1980","1.5","","29","2023-03-14","","",""
"Platoon","1986","3","","60","2023-03-09","","",""
"Tangled","2010","2.5","","46","2023-03-08","","",""
"Chris Rock: Selective Outrage","2023","","","","2023-03-05","","",""
"Guess Who's Coming to Dinner","1967","","","","2023-03-03","","",""
"Blue Velvet","1986","5","yes","100","2023-02-28","100","","https://boxd.it/1ccK6J"
"Mad Max 2","1981","2.5","","","2023-02-26","","",""
"Mad Max","1979","2","","","2023-02-25","","",""
"Sirf Tum","1999","","yes","","2023-02-24","","",""
"Om Shanti Om","2007","3","yes","","2023-02-24","","",""
"The Romantics","2023","","","","2023-02-23","","",""
"The Conversation","1974","4","","","2023-02-22","","",""
"Pinocchio","1940","","","","2023-02-15","","",""
"Bandit Queen","1994","","","","2023-02-13","","",""
"The General","1926","","","","2023-02-11","","",""
"Alone in the Wilderness","2004","3.5","","","2023-02-06","","",""
"Bad Lieutenant","1992","5","yes","","2023-02-05","","",""
"25th Hour","2002","5","yes","","2023-02-05","","",""
"A Trip to the Moon","1902","","","","2023-02-05","","",""
"Exotica","1994","4.5","yes","","2023-02-03","","",""
"Exotica","1994","4","","","2023-02-01","","",""
"The Verdict","1982","3.5","","","2023-01-24","","",""
"The Hitcher","1986","3","","","2023-01-24","","",""
"Road to Perdition","2002","3","","","2023-01-18","","",""
"Sling Blade","1996","3","","","2023-01-15","","",""
"Ben Stokes: Phoenix from the Ashes","2022","","","","2023-01-13","","",""
"The Banshees of Inisherin","2022","3.5","","","2023-01-10","","",""
"Chameli Ki Shaadi","1986","","","","2023-01-07","","",""
"Sansho the Bailiff","1954","3.5","","","2023-01-07","","",""
"The Menu","2022","1.5","","","2023-01-06","","",""
"Chhoti Si Baat","1976","","","","2023-01-04","","",""
"Angoor","1982","","","","2023-01-01","","",""
"Glass Onion","2022","3","","","2022-12-28","","",""
"It's a Wonderful Life","1946","4","yes","","2022-12-24","","",""
"Knives Out","2019","3.5","yes","","2022-12-23","","",""
"Rangeela","1995","","yes","","2022-12-22","","",""
"Ittefaq","1969","","","","2022-12-21","","",""
"Kaun?","1999","","yes","","2022-12-21","","",""
"Jewel Thief","1967","","","","2022-12-19","","",""
"Avatar: The Way of Water","2022","2","","","2022-12-16","","",""
"Bones and All","2022","3","","","2022-12-15","","",""
"Election","1999","3","","","2022-12-14","","",""
"Zakir Khan: Tathastu","2022","","","","2022-12-12","","",""
"Chennai Express","2013","","yes","","2022-12-12","","",""
"Your Name.","2016","3","yes","","2022-12-09","","",""
"Another Round","2020","3.5","","","2022-12-08","","",""
"Tenebre","1982","1","","","2022-12-07","","",""
"Sully","2016","2.5","","","2022-12-05","","",""
"The Last Duel","2021","3","","","2022-12-05","","",""
"TÁR","2022","3","","","2022-12-04","","",""
"Bullet Train","2022","","","","2022-11-26","","",""
"Drishyam 2","2022","","","","2022-11-25","","",""
"The Meyerowitz Stories (New and Selected)","2017","3","","","2022-11-22","","",""
"Gorgeous","1999","","","","2022-11-20","","",""
"Bhool Bhulaiyaa","2007","","yes","","2022-11-14","","",""
"Secret Superstar","2017","","","","2022-11-13","","",""
"Escape from Alcatraz","1979","3","","","2022-11-11","","",""
"Office Space","1999","3.5","yes","","2022-11-09","","",""
"Black Mirror: Black Museum","2017","","yes","","2022-11-08","","",""
"The Batman","2022","3","yes","","2022-11-06","","",""
"Brave","2012","2.5","","","2022-11-05","","",""
"The Insider","1999","3","","","2022-11-02","","",""
"Donnie Brasco","1997","4.5","","","2022-11-01","","",""
"Halloween II","1981","","","","2022-10-29","","",""
"A History of Violence","2005","3","","","2022-10-28","","",""
"The Assassination of Jesse James by the Coward Robert Ford","2007","4","","","2022-10-26","","",""
"Barbarian","2022","2.5","","","2022-10-25","","",""
"Decision to Leave","2022","3.5","","","2022-10-25","","",""
"Scream","1996","3","yes","","2022-10-22","","",""
"Hellraiser","2022","","","","2022-10-22","","",""
"Mallrats","1995","","","","2022-10-18","","",""
"Chasing Amy","1997","3","","","2022-10-17","","",""
"Kantara","2022","","","","2022-10-16","","",""
"Christine","1983","3","","","2022-10-15","","",""
"Back to the Future","1985","3","yes","","2022-10-14","","",""
"X","2022","2","","","2022-10-13","","",""
"Twilight Zone: The Movie","1983","1.5","","","2022-10-12","","",""
"Night of the Living Dead","1968","3","","","2022-10-12","","",""
"Eastern Promises","2007","3","","","2022-10-11","","",""
"Malignant","2021","2.5","","","2022-10-11","","",""
"Werewolf by Night","2022","","","","2022-10-09","","",""
"The Haunting","1963","","","","2022-10-09","","",""
"Altered States","1980","2.5","","","2022-10-08","","",""
"The Thing","1982","3.5","yes","","2022-10-08","","",""
"Breakdown","1997","3","","","2022-10-06","","",""
"Little Shop of Horrors","1986","3.5","","","2022-10-01","","",""
"The Hidden","1987","2.5","","","2022-09-30","","",""
"The Long Goodbye","1973","3.5","","","2022-09-25","","",""
"Three Thousand Years of Longing","2022","2.5","","","2022-09-19","","",""
"My Cousin Vinny","1992","2.5","","","2022-09-15","","",""
"BrahmÄstra Part One: Shiva","2022","","","","2022-09-10","","",""
"The House of the Devil","2009","3","","","2022-09-05","","",""
"Nope","2022","2.5","","","2022-08-29","","",""
"The Reflecting Skin","1990","3.5","","","2022-08-26","","",""
"Men","2022","2","","","2022-08-19","","",""
"Night Tide","1961","","","","2022-08-15","","",""
"Harold and Maude","1971","3","","","2022-08-13","","",""
"The Nice Guys","2016","3","yes","","2022-08-12","","",""
"Double Indemnity","1944","3.5","","","2022-08-08","","",""
"Stalag 17","1953","2.5","","","2022-08-08","","",""
"Sunset Boulevard","1950","4.5","","","2022-08-07","","",""
"The Apartment","1960","4.5","","","2022-08-07","","",""
"The Birds","1963","3","","","2022-08-05","","",""
"Thief","1981","4","","","2022-08-04","","",""
"The Fugitive","1993","3","","","2022-08-03","","",""
"Shiva Baby","2020","2.5","","","2022-08-02","","",""
"Ace in the Hole","1951","4","","","2022-07-31","","",""
"Sympathy for Mr. Vengeance","2002","3","","","2022-07-29","","",""
"Top Gun","1986","","","","2022-07-22","","",""
"Top Gun: Maverick","2022","3.5","","","2022-07-22","","",""
"What We Do in the Shadows","2014","2.5","","","2022-07-21","","",""
"Sleepaway Camp","1983","","","","2022-07-18","","",""
"Lars and the Real Girl","2007","2.5","","","2022-07-17","","",""
"Trust","1990","3.5","","","2022-07-17","","",""
"The Northman","2022","3.5","","","2022-07-15","","",""
"Loki","2021","","","","2022-07-09","","",""
"Thor: Love and Thunder","2022","1.5","","","2022-07-09","","",""
"Poltergeist","1982","2","","","2022-06-27","","",""
"The Unbearable Weight of Massive Talent","2022","2","","","2022-06-26","","",""
"Doctor Strange in the Multiverse of Madness","2022","2.5","","","2022-06-25","","",""
"Mars Attacks!","1996","","yes","","2022-06-20","","",""
"RRR","2022","2","","","2022-06-12","","","https://boxd.it/2VfVkB"
"Phantom Thread","2017","4.5","","","2022-06-05","","",""
"Everything Everywhere All at Once","2022","3.5","","","2022-06-01","","",""
"Kramer vs. Kramer","1979","4","yes","78","2022-05-26","","",""
"Life Itself","2014","3.5","","","2022-05-24","","",""
"Menace II Society","1993","2.5","","","2022-05-22","","",""
"Some Like It Hot","1959","3","","","2022-05-15","","",""
"Boys Don't Cry","1999","3","","","2022-05-14","","",""
"Court","2014","","","","2022-05-10","","",""
"The Celebration","1998","4","","","2022-05-09","","",""
"Midnight Cowboy","1969","4","","","2022-05-07","","",""
"Drugstore Cowboy","1989","3.5","","","2022-05-07","","",""
"A Bug's Life","1998","","","","2022-05-05","","",""
"Ninja Scroll","1993","3","","","2022-05-01","","",""
"Tender Mercies","1983","4","","","2022-04-30","","",""
"Near Dark","1987","3","","","2022-04-29","","",""
"The Lion King","1994","3.5","yes","","2022-04-28","","",""
"First Reformed","2017","3.5","","","2022-04-24","","",""
"Fast Times at Ridgemont High","1982","2.5","","","2022-04-24","","",""
"Prisoners","2013","4","yes","","2022-04-23","","",""
"Freaks","1932","3.5","","","2022-04-22","","",""
"The Abyss","1989","3","","","2022-04-21","","",""
"Henry: Portrait of a Serial Killer","1986","3.5","","","2022-04-18","","",""
"Licorice Pizza","2021","3","","","2022-04-18","","",""
"Riders of Justice","2020","2.5","","","2022-04-16","","",""
"Pyaasa","1957","","","","2022-04-15","","",""
"Scanners","1981","2.5","","","2022-04-14","","",""
"River's Edge","1986","3","","","2022-04-14","","",""
"The Dead Zone","1983","3","","","2022-04-10","","",""
"The Favourite","2018","4","","","2022-04-10","","",""
"CODA","2021","2.5","","","2022-04-09","","",""
"Midnight Run","1988","3","","","2022-04-05","","",""
"Good Time","2017","3","","","2022-04-03","","",""
"Falling in Love","1984","","","","2022-04-02","","",""
"The Deer Hunter","1978","4","","","2022-04-01","","",""
"Beverly Hills Cop","1984","2","","","2022-03-30","","",""
"Force Majeure","2014","3.5","","","2022-03-26","","",""
"Awakenings","1990","3.5","","","2022-03-23","","",""
"The Changeling","1980","3","","","2022-03-21","","",""
"First Blood","1982","3.5","","","2022-03-19","","",""
"The King of Comedy","1982","4","","","2022-03-19","","",""
"American Graffiti","1973","3","","","2022-03-17","","",""
"Spider-Man: No Way Home","2021","2.5","yes","","2022-03-15","","",""
"The Batman","2022","3","","","2022-03-12","","",""
"Thank You for Smoking","2005","3.5","","","2022-03-11","","",""
"The Iron Giant","1999","3","","","2022-03-06","","",""
"Aladdin","1992","3","yes","","2022-03-06","","",""
"The Shawshank Redemption","1994","4.5","yes","","2022-03-01","","",""
"The Untouchables","1987","3","","","2022-03-01","","",""
"Attack the Block","2011","2.5","","","2022-02-24","","",""
"Blue Jay","2016","3","","","2022-02-23","","",""
"Carlito's Way","1993","4","","","2022-02-22","","",""
"Kill List","2011","","","","2022-02-21","","",""
"To Live and Die in L.A.","1985","2.5","","","2022-02-20","","",""
"Mario Puzo's The Godfather: The Complete Novel for Television","1977","5","","","2022-02-15","","",""
"The Power of the Dog","2021","3","","","2022-02-13","","",""
"Seconds","1966","3.5","","","2022-02-12","","",""
"Miracle Mile","1988","3.5","","","2022-02-08","","",""
"Straw Dogs","1971","3","","","2022-02-07","","",""
"Bull Durham","1988","2.5","","","2022-02-06","","",""
"The Sandlot","1993","2.5","","","2022-02-04","","",""
"King of New York","1990","3","","","2022-02-03","","",""
"Duel","1971","3.5","","","2022-02-02","","",""
"Chungking Express","1994","","","","2022-01-31","","",""
"The French Connection","1971","3.5","","","2022-01-30","","",""
"Society","1989","1","","","2022-01-29","","",""
"Apollo 13","1995","3","","","2022-01-26","","",""
"Pretend That You Love Me","2020","","","","2022-01-26","","",""
"Bad Lieutenant","1992","4.5","","","2022-01-23","","",""
"Hannibal","2001","2","","","2022-01-22","","",""
"Anatomy of a Murder","1959","4","","","2022-01-20","","",""
"Wanted","2008","","yes","","2022-01-19","","",""
"Point Break","1991","","","","2022-01-18","","",""
"Cruising","1980","3.5","","","2022-01-17","","",""
"Us","2019","2.5","","","2022-01-15","","",""
"Reality Bites","1994","1.5","","","2022-01-12","","",""
"Badlands","1973","4","","","2022-01-11","","",""
"The Last Picture Show","1971","4","","","2022-01-08","","",""
"The Matrix Resurrections","2021","1","","","2022-01-07","","",""
"My Life as a Zucchini","2016","3","","","2022-01-06","","",""
"The Death of Stalin","2017","3","","","2022-01-05","","",""
"Prometheus","2012","2.5","","","2022-01-01","","",""
"Beginners","2010","","","","2021-12-31","","",""
"Mare of Easttown","2021","3","","","2021-12-30","","",""
"Spider-Man: No Way Home","2021","2.5","","","2021-12-25","","",""
"Rashomon","1950","3.5","","","2021-12-20","","",""
"The Namesake","2006","2.5","","","2021-12-17","","",""
"Wolfwalkers","2020","3.5","","","2021-12-13","","",""
"War of the Worlds","2005","2.5","","","2021-12-10","","",""
"Listening to Kenny G","2021","","","","2021-12-07","","",""
"Hitch","2005","1.5","","","2021-12-05","","",""
"Spencer","2021","3.5","yes","","2021-12-01","","",""
"Shang-Chi and the Legend of the Ten Rings","2021","2.5","","","2021-12-01","","",""
"Spencer","2021","3","","","2021-11-30","","",""
"Planes, Trains and Automobiles","1987","2.5","","","2021-11-27","","",""
"Le Trou","1960","4","","","2021-11-25","","",""
"If Anything Happens I Love You","2020","","","","2021-11-25","","",""
"The Road","2009","3","","","2021-11-24","","",""
"On the Waterfront","1954","3.5","","","2021-11-21","","",""
"The Umbrellas of Cherbourg","1964","3.5","","","2021-11-20","","",""
"Squid Game","2021","3","","","2021-11-19","","",""
"The Florida Project","2017","3","","","2021-11-17","","",""
"Fish Tank","2009","3.5","","","2021-11-10","","",""
"Yesterday","2019","1.5","","","2021-11-08","","",""
"The Edge of Seventeen","2016","3","","","2021-11-07","","",""
"Bo Burnham: Make Happy","2016","","","","2021-11-03","","",""
"Bill Burr: Paper Tiger","2019","","","","2021-11-02","","",""
"Dave Chappelle: Equanimity","2017","","","","2021-11-01","","",""
"The Ring","2002","2","","","2021-11-01","","",""
"Raincoat","2004","","","","2021-10-30","","",""
"Dune","2021","3","","54","2021-10-28","","","https://boxd.it/2f3f79"
"Mimi","2021","","","","2021-10-27","","",""
"Prince of Darkness","1987","2.5","","","2021-10-27","","",""
"Sinister","2012","2","","","2021-10-27","","",""
"The Guilty","2018","3.5","","","2021-10-23","","",""
"Titane","2021","3","","","2021-10-22","","",""
"Sideways","2004","3.5","","","2021-10-21","","",""
"Stoker","2013","2","","","2021-10-21","","",""
"The Ninth Gate","1999","2.5","","","2021-10-19","","",""
"Hellraiser","1987","2","","","2021-10-18","","",""
"Gremlins","1984","2.5","","","2021-10-18","","",""
"Pontypool","2008","2.5","","","2021-10-17","","",""
"Promising Young Woman","2020","2","","","2021-10-15","","",""
"Revanche","2008","3.5","","","2021-10-13","","",""
"The Brood","1979","1.5","","","2021-10-12","","",""
"The Red Balloon","1956","","yes","","2021-10-12","","",""
"Saint Maud","2019","2","","","2021-10-10","","",""
"Fright Night","1985","2","","","2021-10-10","","",""
"Damage","1992","3","","","2021-10-09","","",""
"The Lovers on the Bridge","1991","3.5","","","2021-10-08","","",""
"Revolutionary Road","2008","3","","","2021-10-07","","",""
"The Reader","2008","3","","","2021-10-06","","",""
"The Innocents","1961","3","","","2021-10-05","","",""
"The Dreamers","2003","3","","","2021-10-05","","",""
"I, Robot","2004","1.5","","","2021-10-04","","",""
"Stealing Beauty","1996","2","","","2021-10-03","","",""
"Lolita","1962","2.5","","","2021-10-01","","",""
"Lolita","1997","4.5","","","2021-09-30","","",""
"Assault on Precinct 13","1976","2.5","","","2021-09-29","","",""
"Lord of War","2005","3.5","","67","2021-09-28","","","https://boxd.it/2ayThb"
"Man on the Moon","1999","2.5","","","2021-09-24","","",""
"Exit Through the Gift Shop","2010","3.5","","","2021-09-23","","",""
"The Revenant","2015","4","","","2021-09-21","","",""
"Angel Heart","1987","2.5","","","2021-09-19","","",""
"Thesis","1996","3","","","2021-09-19","","",""
"Pig","2021","3","","","2021-09-18","","",""
"Identity","2003","2","","","2021-09-18","","",""
"Half Nelson","2006","","","","2021-09-17","","",""
"First Man","2018","3","","","2021-09-16","","",""
"Welcome to the Dollhouse","1995","3.5","","","2021-09-14","","",""
"The Mist","2007","2.5","","","2021-09-13","","",""
"Inside Man","2006","2.5","","","2021-09-12","","",""
"Y Tu Mamá También","2001","3.5","","","2021-09-11","","",""
"Lethal Weapon","1987","2","","","2021-09-09","","",""
"Dirty Harry","1971","3","","","2021-09-08","","",""
"End of Watch","2012","3","","","2021-09-08","","",""
"Fire in Babylon","2010","","","","2021-09-07","","",""
"To Kill a Mockingbird","1962","3","","","2021-09-05","","",""
"Pandorum","2009","","","","2021-09-04","","",""
"Pretty Woman","1990","2.5","","","2021-09-01","","",""
"The Wrestler","2008","4","","","2021-09-01","","",""
"Sex, Lies, and Videotape","1989","3.5","","","2021-08-31","","",""
"Pi","1998","3","","","2021-08-30","","",""
"Idiocracy","2006","","","","2021-08-30","","",""
"The Boondock Saints","1999","1.5","","","2021-08-29","","",""
"Snowpiercer","2013","4","","","2021-08-26","","",""
"Ginger Snaps","2000","2.5","","","2021-08-26","","",""
"Shershaah","2021","","","","2021-08-25","","",""
"The Suicide Squad","2021","2","","39","2021-08-24","","","https://boxd.it/25GYGL"
"The Invitation","2015","2.5","","","2021-08-24","","",""
"The Green Knight","2021","","","","2021-08-22","","",""
"In the Heat of the Night","1967","3","","","2021-08-22","","",""
"Raising Arizona","1987","3","","","2021-08-20","","",""
"Ping Pong the Animation","2014","3","","","2021-08-19","","",""
"Triangle","2009","2","","","2021-08-18","","",""
"The Night Of","2016","","","","2021-08-12","","",""
"Ready or Not","2019","2.5","","","2021-08-10","","",""
"10 Things I Hate About You","1999","2","","","2021-08-09","","",""
"Lawrence of Arabia","1962","3.5","","65","2021-08-08","","","https://boxd.it/4C3iCx"
"The Secret Life of Walter Mitty","2013","2","","","2021-08-04","","",""
"Being Cyrus","2005","","","","2021-08-01","","",""
"Philadelphia","1993","3","","51","2021-07-29","","",""
"The Talented Mr. Ripley","1999","3.5","","69","2021-07-23","","",""
"American Movie","1999","3.5","","62","2021-07-21","","",""
"Sherlock, Jr.","1924","","","","2021-07-20","","",""
"Leaving Las Vegas","1995","3","yes","53","2021-07-19","","",""
"The Invisible Man","2020","2.5","","42","2021-07-19","","",""
"Leaving Las Vegas","1995","","","","2021-07-16","","",""
"Kramer vs. Kramer","1979","3.5","","67","2021-07-15","","",""
"A Quiet Place Part II","2020","2","","39","2021-07-14","","",""
"Kick-Ass","2010","2","","38","2021-07-13","","",""
"Hard Candy","2005","2.5","","46","2021-07-11","","",""
"Super","2010","","","","2021-07-10","","",""
"Cube","1997","1.5","","23","2021-07-10","","",""
"eXistenZ","1999","2","","40","2021-07-09","","",""
"Body Double","1984","2.5","","48","2021-07-08","","","https://boxd.it/1YJdzr"
"Dressed to Kill","1980","2.5","","46","2021-07-06","","",""
"Vanilla Sky","2001","2.5","","43","2021-07-04","","",""
"Lady Vengeance","2005","","","","2021-07-02","","",""
"Bridget Jones's Diary","2001","2","","32","2021-07-01","","",""
"Call Me by Your Name","2017","3.5","","61","2021-06-29","","","https://boxd.it/1Xu4Mn"
"Four Lions","2010","2.5","","46","2021-06-28","","",""
"This Is England","2006","4","","73","2021-06-27","","",""
"The Crying Game","1992","3.5","","66","2021-06-26","","",""
"Mean Girls","2004","2.5","","41","2021-06-26","","",""
"The Full Monty","1997","3","","52","2021-06-26","","",""
"Gandhi","1982","3","","54","2021-06-24","","",""
"Klaus","2019","2.5","","46","2021-06-23","","",""
"Once Upon a Time in the West","1968","3.5","","68","2021-06-22","","","https://boxd.it/1Wz2PZ"
"The Kid","1921","3.5","","63","2021-06-21","","",""
"Luck by Chance","2009","","","","2021-06-20","","",""
"For a Few Dollars More","1965","3","","60","2021-06-17","","",""
"Fireworks","1997","","","","2021-06-16","","",""
"A Fistful of Dollars","1964","2.5","","47","2021-06-15","","",""
"Lootera","2013","","","","2021-06-13","","",""
"Dil Dhadakne Do","2015","","","","2021-06-11","","",""
"Grosse Pointe Blank","1997","2.5","","45","2021-06-11","","",""
"High Fidelity","2000","3.5","","63","2021-06-10","","",""
"Brick","2005","3","","59","2021-06-09","","","https://boxd.it/1UWgbx"
"Say Anything...","1989","3.5","","69","2021-06-09","","",""
"Saw II","2005","0.5","","8","2021-06-08","","",""
"Bo Burnham: Inside","2021","","","","2021-06-07","","",""
"Speak","2004","","","","2021-06-07","","",""
"Dan in Real Life","2007","2","","35","2021-06-07","","",""
"The Twilight Saga: Breaking Dawn - Part 2","2012","0.5","","10","2021-06-05","","","https://boxd.it/1UvUSd"
"The Twilight Saga: Eclipse","2010","1.5","","21","2021-06-05","","",""
"The Twilight Saga: Breaking Dawn - Part 1","2011","1","","11","2021-06-05","","",""
"The Devil Wears Prada","2006","2","","39","2021-06-04","","",""
"The Twilight Saga: New Moon","2009","1","","16","2021-06-04","","",""
"Twilight","2008","1","","15","2021-06-03","","",""
"Sicario","2015","4","yes","71","2021-06-02","","",""
"Love Actually","2003","1.5","","28","2021-05-31","","",""
"Crazy, Stupid, Love.","2011","3","","52","2021-05-29","","","https://boxd.it/1TrlYt"
"When Marnie Was There","2014","2.5","","50","2021-05-28","","",""
"Anomalisa","2015","3.5","","62","2021-05-28","","",""
"Baby Driver","2017","3.5","yes","67","2021-05-26","","","https://boxd.it/1T1Exz"
"Isle of Dogs","2018","4","","71","2021-05-22","","","https://boxd.it/1StalZ"
"Knocked Up","2007","2.5","","43","2021-05-21","","",""
"Forgetting Sarah Marshall","2008","2","","31","2021-05-20","","",""
"Crank","2006","2","","35","2021-05-19","","",""
"Glengarry Glen Ross","1992","3.5","","64","2021-05-17","","",""
"High Tension","2003","1","","12","2021-05-16","","",""
"Love, Simon","2018","3","","51","2021-05-16","","",""
"4 Months, 3 Weeks and 2 Days","2007","3.5","","62","2021-05-15","","",""
"Iruvar","1997","","","","2021-05-14","","",""
"Moneyball","2011","3","","60","2021-05-13","","",""
"The Big Short","2015","2.5","","48","2021-05-12","","",""
"One Child Nation","2019","","","","2021-05-11","","",""
"A Few Good Men","1992","3","","57","2021-05-10","","",""
"Judas and the Black Messiah","2021","3","","56","2021-05-09","","",""
"The Father","2020","","","","2021-05-08","","",""
"Captain Phillips","2013","3.5","","61","2021-05-07","","",""
"Star Trek Into Darkness","2013","2.5","","41","2021-05-05","","",""
"Star Trek Beyond","2016","2.5","","43","2021-05-05","","",""
"Minari","2020","3","","55","2021-05-04","","",""
"The Diving Bell and the Butterfly","2007","3.5","","67","2021-05-01","","",""
"Police Story 3: Super Cop","1992","","","","2021-04-30","","",""
"They Live","1988","2.5","","","2021-04-29","","",""
"Steve Jobs","2015","3","","","2021-04-29","","",""
"The Haunting of Hill House","2018","2.5","","","2021-04-28","","",""
"The Wolf of Snow Hollow","2020","2.5","","","2021-04-26","","",""
"Rush Hour 3","2007","1.5","","","2021-04-26","","",""
"Mandy","2018","2.5","","","2021-04-24","","",""
"United 93","2006","3","","","2021-04-22","","",""
"Dragon Ball Z: Broly - The Legendary Super Saiyan","1993","","","","2021-04-20","","",""
"Dragon Ball: Episode of Bardock","2011","","","","2021-04-20","","",""
"Dragon Ball Super: Broly","2018","","","","2021-04-20","","",""
"Dragon Ball Z: Resurrection 'F'","2015","","","","2021-04-20","","",""
"Short Term 12","2013","3","","","2021-04-18","","",""
"Dragon Ball Z: Fusion Reborn","1995","","yes","","2021-04-17","","",""
"Dragon Ball Z: The History of Trunks","1993","","","","2021-04-17","","",""
"Bruce Almighty","2003","2","","","2021-04-16","","",""
"Dragon Ball Z: Bardock - The Father of Goku","1990","","","","2021-04-16","","",""
"Nobody","2021","3","","","2021-04-16","","",""
"Brokeback Mountain","2005","4","","","2021-04-15","","",""
"Red Dragon","2002","2.5","","","2021-04-15","","",""
"Dear Zachary: A Letter to a Son About His Father","2008","","","","2021-04-14","","",""
"The Legacy of Dear Zachary: A Journey to Change the Law","2013","","","","2021-04-14","","",""
"The SpongeBob SquarePants Movie","2004","","","","2021-04-13","","",""
"A Close Shave","1995","","","","2021-04-13","","",""
"The Wrong Trousers","1993","","","","2021-04-13","","",""
"Sound of Metal","2019","3.5","","","2021-04-12","","",""
"A Grand Day Out","1989","","","","2021-04-10","","",""
"Elephant","2003","","","","2021-04-07","","",""
"May","2002","2.5","","","2021-04-06","","",""
"Under the Silver Lake","2018","3.5","","","2021-04-05","","",""
"Me and Earl and the Dying Girl","2015","3","","","2021-04-05","","",""
"Crossing the Line","2018","","yes","","2021-04-05","","",""
"One Cut of the Dead","2017","","","","2021-04-01","","",""
"Godzilla vs. Kong","2021","1","","","2021-04-01","","",""
"The Farewell","2019","3","","","2021-04-01","","",""
"Clerks II","2006","2","","","2021-03-30","","",""
"Game Night","2018","2","","","2021-03-27","","",""
"The Piano Teacher","2001","4.5","","","2021-03-27","","",""
"Buried","2010","1.5","","","2021-03-26","","",""
"Witness for the Prosecution","1957","3","","","2021-03-25","","","https://boxd.it/1Km1Hr"
"Hunger","2008","","","","2021-03-24","","",""
"Apocalypto","2006","2.5","","","2021-03-22","","",""
"Zack Snyder's Justice League","2021","2","","","2021-03-21","","",""
"Shame","2011","4.5","","","2021-03-20","","",""
"When They See Us","2019","","","","2021-03-19","","",""
"Cool Hand Luke","1967","3.5","","","2021-03-18","","",""
"Paterson","2016","4","","","2021-03-17","","",""
"The Gift","2015","2.5","","","2021-03-16","","",""
"Enemy","2013","3","","","2021-03-15","","",""
"Invasion of the Body Snatchers","1978","2","","","2021-03-15","","",""
"Take Shelter","2011","3","","","2021-03-14","","",""
"Eyes Without a Face","1960","2.5","","","2021-03-13","","",""
"Rango","2011","3.5","","","2021-03-12","","",""
"The Spectacular Now","2013","3","","","2021-03-10","","",""
"Taste of Cherry","1997","4","","","2021-03-10","","",""
"Zero Dark Thirty","2012","2.5","","","2021-03-09","","",""
"Indiana Jones and the Last Crusade","1989","2","","","2021-03-08","","",""
"Indiana Jones and the Temple of Doom","1984","","","","2021-03-08","","",""
"Koyaanisqatsi","1982","","","","2021-03-07","","",""
"Burning","2018","4","","","2021-03-05","","",""
"Shutter","2004","1.5","","","2021-03-03","","",""
"Seven Samurai","1954","4","","","2021-03-01","","",""
"Re-Animator","1985","","","","2021-02-28","","",""
"Saint☆Young Men","2013","","","","2021-02-28","","",""
"Tropic Thunder","2008","2.5","","","2021-02-27","","","https://boxd.it/1GPR3P"
"Eighth Grade","2018","3","","","2021-02-20","","",""
"A Serbian Film","2010","","","","2021-02-19","","",""
"Tucker and Dale vs. Evil","2010","3","","","2021-02-19","","",""
"Brawl in Cell Block 99","2017","1.5","","","2021-02-18","","",""
"Green Room","2015","2","","","2021-02-17","","",""
"Shrek","2001","2.5","","","2021-02-16","","",""
"Blue Ruin","2013","3","","","2021-02-13","","",""
"Delhi Belly","2011","","yes","","2021-02-12","","",""
"The Vast of Night","2019","2.5","","","2021-02-11","","",""
"Soul","2020","3","","","2021-02-10","","",""
"Contagion","2011","2","","","2021-02-09","","",""
"Days of Heaven","1978","4","","","2021-02-05","","",""
"Kong: Skull Island","2017","1.5","","","2021-02-04","","",""
"Godzilla: King of the Monsters","2019","1.5","","","2021-02-02","","",""
"Godzilla","2014","1.5","","","2021-02-01","","",""
"Hero","2002","3.5","","","2021-01-30","","",""
"Song of the Sea","2014","3","","","2021-01-27","","",""
"Signs","2002","2.5","","","2021-01-22","","",""
"Band of Brothers","2001","","","","2021-01-20","","",""
"The Man from Earth","2007","3.5","yes","","2021-01-15","","",""
"Black Mirror: Playtest","2016","","","","2020-12-11","","",""
"Black Mirror: USS Callister","2017","","","","2020-12-10","","",""
"Black Mirror: White Bear","2013","","","","2020-12-10","","",""
"Black Mirror: Shut Up and Dance","2016","","","","2020-12-09","","",""
"Tenet","2020","3","yes","","2020-12-09","","",""
"Ludo","2020","","","","2020-12-06","","",""
"Tenet","2020","2.5","","","2020-12-02","","",""
"The Fighter","2010","3","","","2020-11-28","","",""
"Despicable Me","2010","2","","","2020-11-27","","",""
"A Charlie Brown Christmas","1965","","","","2020-11-26","","",""
"Buffalo '66","1998","5","yes","","2020-11-26","","",""
"Rajnigandha","1974","","","","2020-11-25","","",""
"Gol Maal","1979","","","","2020-11-24","","",""
"The Thin Blue Line","1988","4","","","2020-11-19","","",""
"Lucy","2014","1","yes","","2020-11-19","","",""
"A Boy Named Charlie Brown","1969","","","","2020-11-18","","",""
"Father and Daughter","2000","","yes","","2020-11-17","","",""
"The English Patient","1996","3","","","2020-11-15","","",""
"The Lego Movie","2014","2.5","","","2020-11-12","","",""
